target_name,model,requested_fpr,metric,n_repeats,mean,sd,median,q025,q975
FILD or FILA ADJUDICATED,combined,0.001,tpr,10,0.05264049079754601,0.03726860612349102,0.03854907975460123,0.009613496932515335,0.10268634969325154
FILD or FILA ADJUDICATED,combined,0.001,ppv,10,0.49177319595394886,0.15927845111247302,0.4486958041958042,0.2725749824168799,0.6857307562607945
FILD or FILA ADJUDICATED,combined,0.001,acc,10,0.9790444243208279,0.0007858709958769874,0.9787472833117723,0.978137128072445,0.9800997250970246
FILD or FILA ADJUDICATED,combined,0.001,npv,10,0.9799820901056039,0.0007718992116872139,0.9796898103658741,0.9790913429834415,0.9810189888251141
FILD or FILA ADJUDICATED,combined,0.001,threshold,10,0.7760456533766542,0.14691253986232156,0.844302169629412,0.5228323406860753,0.9051494812492855
FILD or FILA ADJUDICATED,combined,0.001,expected_fp,10,7.567000000000002,1.8724445165742407e-15,7.567,7.567,7.567
FILD or FILA ADJUDICATED,combined,0.001,expected_tn,10,7559.433,0.0,7559.433,7559.433,7559.433
FILD or FILA ADJUDICATED,combined,0.001,expected_flags,10,16.147400000000005,6.074782798129035,13.8505,9.134,24.304874999999996
FILD or FILA ADJUDICATED,combined,0.001,fpr,10,0.0010000000000000002,2.28569887277129e-19,0.001,0.001,0.001
FILD or FILA ADJUDICATED,combined,0.001,tpr_upper,10,0.09626757228225628,0.047493160678495336,0.08024227369950374,0.03942807591810028,0.15875271975044136
FILD or FILA ADJUDICATED,combined,0.001,ppv_upper,10,0.7027550895804309,0.11870309401101897,0.6960312488005912,0.5287875406601898,0.8350797943839938
FILD or FILA ADJUDICATED,combined,0.001,acc_upper,10,0.9804559164666667,0.0010014728577742173,0.9801179961990096,0.9792573604631275,0.9817735204818431
FILD or FILA ADJUDICATED,combined,0.001,npv_upper,10,0.9808961145683179,0.0009849948688051328,0.9805630136099885,0.9797179984568034,0.9821926422561176
FILD or FILA ADJUDICATED,combined,0.001,threshold_upper,10,0.7760456533766542,0.14691253986232156,0.844302169629412,0.5228323406860753,0.9051494812492855
FILD or FILA ADJUDICATED,combined,0.001,expected_fp_upper,10,7.567000000000002,1.8724445165742407e-15,7.567,7.567,7.567
FILD or FILA ADJUDICATED,combined,0.001,expected_tn_upper,10,7559.433,0.0,7559.433,7559.433,7559.433
FILD or FILA ADJUDICATED,combined,0.001,expected_flags_upper,10,16.147400000000005,6.074782798129035,13.8505,9.134,24.304874999999996
FILD or FILA ADJUDICATED,combined,0.001,fpr_lower,10,0.0010000000000000002,2.28569887277129e-19,0.001,0.001,0.001
FILD or FILA ADJUDICATED,combined,0.001,tpr_lower,10,0.029613962014716177,0.02540150831678884,0.01810533688048065,0.0023808297939428317,0.06491595999179964
FILD or FILA ADJUDICATED,combined,0.001,ppv_lower,10,0.3206959391701234,0.13969989292208856,0.26821070465007707,0.14931077361592587,0.49162337359641195
FILD or FILA ADJUDICATED,combined,0.001,acc_lower,10,0.9775716203318157,0.0005356333577796573,0.9773289416905633,0.9769973641155173,0.9783160221002846
FILD or FILA ADJUDICATED,combined,0.001,npv_lower,10,0.9794849057967514,0.0005261088985418651,0.9792463806570744,0.9789210278951233,0.9802162274928508
FILD or FILA ADJUDICATED,combined,0.001,threshold_lower,10,0.7760456533766542,0.14691253986232156,0.844302169629412,0.5228323406860753,0.9051494812492855
FILD or FILA ADJUDICATED,combined,0.001,expected_fp_lower,10,7.567000000000002,1.8724445165742407e-15,7.567,7.567,7.567
FILD or FILA ADJUDICATED,combined,0.001,expected_tn_lower,10,7559.433,0.0,7559.433,7559.433,7559.433
FILD or FILA ADJUDICATED,combined,0.001,expected_flags_lower,10,16.147400000000005,6.074782798129035,13.8505,9.134,24.304874999999996
FILD or FILA ADJUDICATED,combined,0.001,sensitivity,10,0.05264049079754601,0.03726860612349102,0.03854907975460123,0.009613496932515335,0.10268634969325154
FILD or FILA ADJUDICATED,combined,0.001,specificity,10,0.999,0.0,0.999,0.999,0.999
FILD or FILA ADJUDICATED,combined,0.005,tpr,10,0.17341717791411043,0.09990380073483425,0.12526073619631903,0.075,0.32101226993865034
FILD or FILA ADJUDICATED,combined,0.005,ppv,10,0.4016848759399931,0.13470111737423346,0.3683843669439887,0.2432768706469749,0.5802845106761055
FILD or FILA ADJUDICATED,combined,0.005,acc,10,0.9776755498059508,0.002106639006439561,0.9766600905562743,0.9756002587322122,0.9807878395860284
FILD or FILA ADJUDICATED,combined,0.005,npv,10,0.9824237783042493,0.002089471266957067,0.9814146991644885,0.9803676880169543,0.9855134665305976
