target_name,model,requested_fpr,LR+,LR-,acc,npv,ppv,sensitivity,specificity
FILD or FILA ADJUDICATED,combined,0.001,,,"0.979 (0.978, 0.980)","0.980 (0.979, 0.981)","0.492 (0.273, 0.686)","0.053 (0.010, 0.103)","0.999 (0.999, 0.999)"
FILD or FILA ADJUDICATED,combined,0.005,"43.324 (16.080, 64.577)","0.787 (0.681, 0.924)","0.978 (0.976, 0.981)","0.982 (0.980, 0.986)","0.402 (0.243, 0.580)","0.173 (0.075, 0.321)","0.995 (0.995, 0.995)"
FILD or FILA ADJUDICATED,combined,0.01,"25.885 (12.454, 36.454)","0.749 (0.642, 0.884)","0.974 (0.972, 0.977)","0.984 (0.981, 0.986)","0.340 (0.212, 0.439)","0.251 (0.125, 0.364)","0.990 (0.990, 0.990)"
FILD or FILA ADJUDICATED,combined,0.02,"17.502 (12.040, 20.336)","0.663 (0.605, 0.775)","0.966 (0.964, 0.968)","0.985 (0.983, 0.987)","0.259 (0.179, 0.305)","0.329 (0.203, 0.407)","0.980 (0.980, 0.980)"
FILD or FILA ADJUDICATED,combined,0.05,"9.530 (8.994, 9.926)","0.551 (0.530, 0.579)","0.939 (0.937, 0.940)","0.987 (0.985, 0.989)","0.159 (0.119, 0.176)","0.441 (0.312, 0.494)","0.950 (0.950, 0.950)"
FILD or FILA ADJUDICATED,combined,0.1,"5.736 (5.590, 5.882)","0.474 (0.458, 0.490)","0.893 (0.891, 0.895)","0.990 (0.988, 0.992)","0.108 (0.093, 0.122)","0.564 (0.478, 0.645)","0.900 (0.900, 0.900)"
FILD or FILA ADJUDICATED,genomic,0.001,,,"0.978 (0.978, 0.978)","0.979 (0.979, 0.979)","0.096 (0.022, 0.193)","0.003 (0.000, 0.011)","0.999 (0.999, 0.999)"
FILD or FILA ADJUDICATED,genomic,0.005,"3.681 (2.516, 4.847)","0.987 (0.981, 0.992)","0.974 (0.974, 0.975)","0.979 (0.979, 0.979)","0.064 (0.022, 0.113)","0.015 (0.001, 0.029)","0.995 (0.995, 0.995)"
FILD or FILA ADJUDICATED,genomic,0.01,"5.522 (5.522, 5.522)","0.954 (0.954, 0.954)","0.970 (0.969, 0.970)","0.979 (0.979, 0.980)","0.049 (0.022, 0.092)","0.021 (0.001, 0.050)","0.990 (0.990, 0.990)"
FILD or FILA ADJUDICATED,genomic,0.02,"2.147 (2.147, 2.147)","0.977 (0.977, 0.977)","0.960 (0.960, 0.960)","0.979 (0.979, 0.980)","0.039 (0.022, 0.055)","0.036 (0.009, 0.054)","0.980 (0.980, 0.980)"
FILD or FILA ADJUDICATED,genomic,0.05,,,"0.932 (0.931, 0.933)","0.979 (0.979, 0.981)","0.032 (0.021, 0.047)","0.077 (0.036, 0.125)","0.950 (0.950, 0.950)"
FILD or FILA ADJUDICATED,genomic,0.1,,,"0.884 (0.883, 0.886)","0.980 (0.978, 0.982)","0.030 (0.021, 0.044)","0.140 (0.071, 0.213)","0.900 (0.900, 0.900)"
FILD or FILA ADJUDICATED,zebra,0.001,,,"0.979 (0.979, 0.980)","0.980 (0.980, 0.981)","0.590 (0.540, 0.640)","0.068 (0.055, 0.083)","0.999 (0.999, 0.999)"
