target_name,repeat,split_seed,model,n_test,n_positive,n_negative,observed_prevalence,performance_prevalence,zedstat_auc,zedstat_auc_ci_low,zedstat_auc_ci_high,brier_score,calibration_intercept,calibration_slope,expected_calibration_error,max_calibration_error,mean_predicted_risk,observed_to_expected_ratio,sklearn_auc_check,auc_zedstat_minus_sklearn
FILD or FILA ADJUDICATED,1,171039839,zebra,7730,163,7567,0.021086675291073737,0.021086675291073737,0.8379162047546013,0.7995884438971239,0.8762439656120786,0.4042983548086292,-4.5797995998807615,0.18916368961554164,0.5697489463290274,0.9285791528960591,0.5908356216201013,0.035689580180106616,0.8378631464844525,5.3058270148786946e-05
FILD or FILA ADJUDICATED,1,171039839,genomic,7730,163,7567,0.021086675291073737,0.021086675291073737,0.5461179141104295,0.5002601466385359,0.5919756815823232,0.040239342020519056,-3.39541114459643,0.22729923712515568,0.11832346870362902,0.26423324341817184,0.13941014399470278,0.15125639129872054,0.5460803732059045,3.754090452501302e-05
FILD or FILA ADJUDICATED,1,171039839,combined,7730,163,7567,0.021086675291073737,0.021086675291073737,0.8363558036809817,0.7978982129385055,0.874813394423458,0.062037305340015204,-2.68918436502341,1.1194258215126849,0.15479283894541537,0.476783553788704,0.17587951423648915,0.11989273101312076,0.8363162294139633,3.957426701839406e-05
FILD or FILA ADJUDICATED,2,1761127537,zebra,7730,163,7567,0.021086675291073737,0.021086675291073737,0.8504773651020117,0.8132490060222602,0.8877057241817631,0.403674211736805,-4.5936029521508,0.1822536006748518,0.5695946408140081,0.9275651779410709,0.5906813161050818,0.0356989034799984,0.8504221186439992,5.524645801247008e-05
FILD or FILA ADJUDICATED,2,1761127537,genomic,7730,163,7567,0.021086675291073737,0.021086675291073737,0.5602863926380368,0.5142060332716547,0.6063667520044189,0.09419365707338251,-3.4869839014791513,0.32972110411672906,0.24198855669022565,0.48843001175672307,0.2630752319812994,0.08015454412893068,0.560193153837984,9.323880005285279e-05
FILD or FILA ADJUDICATED,2,1761127537,combined,7730,163,7567,0.021086675291073737,0.021086675291073737,0.8399381595092025,0.8017807915213089,0.8780955274970961,0.019212466058696018,-0.7344895945340194,0.8781512902758696,0.00983990904339712,0.06678729164386286,0.030164559853419304,0.699054632109391,0.8399119197743511,2.623973485138542e-05
FILD or FILA ADJUDICATED,3,1911455491,zebra,7730,163,7567,0.021086675291073737,0.021086675291073737,0.8432541755437815,0.8053816191396347,0.8811267319479282,0.40613917378048153,-4.565275787170992,0.17764173119822446,0.5710017334342361,0.923278561088524,0.5920884087253099,0.03561406536647227,0.8432011454320949,5.3030111686558357e-05
FILD or FILA ADJUDICATED,3,1911455491,genomic,7730,163,7567,0.021086675291073737,0.021086675291073737,0.49570016564417174,0.4510313516793929,0.5403689796089506,0.02246322876087191,-3.9495458383482376,-0.019584719156475906,0.023362267670140845,0.08890080131233427,0.015504567883399748,1.3600298602098144,0.49563936401277425,6.0801631397489064e-05
FILD or FILA ADJUDICATED,3,1911455491,combined,7730,163,7567,0.021086675291073737,0.021086675291073737,0.8094009877300613,0.7689151193606789,0.8498868560994437,0.04093779856436281,-2.1545701389119616,1.048858963428722,0.10707321908590357,0.3525011313168874,0.1281598943769773,0.16453411883321398,0.8093132839476546,8.770378240674503e-05
FILD or FILA ADJUDICATED,4,1181887464,zebra,7730,163,7567,0.021086675291073737,0.021086675291073737,0.8580493918711656,0.8215330225293233,0.8945657612130079,0.40282495282793584,-4.671771306601279,0.1966122285941052,0.5683994508637005,0.928430544081329,0.5894861261547744,0.03577128342039599,0.8580281996171624,2.1192254003210564e-05
