target_name,repeat,split_seed,model,calibration_source,n_calibration,n_positive_calibration,raw_auc_calibration_data,calibrated_auc_calibration_data,raw_brier_calibration_data,calibrated_brier_calibration_data,n_unique_raw_scores,n_unique_calibrated_scores
NONFIBROTIC ILD ADJUDICATED,1,99542587,zebra,outer_train_fixed_score,5130,11,0.7753289882612016,0.8271057912589462,0.4160965933877002,0.002122749126177237,5066,5
NONFIBROTIC ILD ADJUDICATED,1,99542587,genomic,outer_train_oof_predictions,5130,11,0.4663020121117406,0.5596529862011401,0.016209239402312902,0.0021392915723756865,5125,5
NONFIBROTIC ILD ADJUDICATED,1,99542587,combined,outer_train_oof_predictions,5130,11,0.5628585128487453,0.6181338684757322,0.1325054370321215,0.002137360153609222,465,2
NONFIBROTIC ILD ADJUDICATED,2,1829596856,zebra,outer_train_fixed_score,5130,11,0.8148519774813974,0.8494290433145678,0.4243551700132506,0.002119745436510753,5085,7
NONFIBROTIC ILD ADJUDICATED,2,1829596856,genomic,outer_train_oof_predictions,5130,11,0.5295778649949386,0.6574082295902964,0.005492484963272351,0.002133085581397495,5130,4
NONFIBROTIC ILD ADJUDICATED,2,1829596856,combined,outer_train_oof_predictions,5130,11,0.6392051004279955,0.6987959296027278,0.004153850781133361,0.002130890721955498,5130,5
NONFIBROTIC ILD ADJUDICATED,3,1547199464,zebra,outer_train_fixed_score,5130,11,0.7854694631408834,0.8393773641868973,0.4126031147387802,0.002105460710950638,5078,5
NONFIBROTIC ILD ADJUDICATED,3,1547199464,genomic,outer_train_oof_predictions,5130,11,0.5888223907368271,0.652009447868014,0.004530350596872116,0.0021379806731159834,5130,6
NONFIBROTIC ILD ADJUDICATED,3,1547199464,combined,outer_train_oof_predictions,5130,11,0.6375357402901846,0.7204976113942709,0.0026913074157659386,0.0021346053754173664,5130,4
NONFIBROTIC ILD ADJUDICATED,4,1321510800,zebra,outer_train_fixed_score,5130,11,0.8263865456676552,0.8678008844056899,0.4145648946882941,0.0021130797554625227,5066,4
NONFIBROTIC ILD ADJUDICATED,4,1321510800,genomic,outer_train_oof_predictions,5130,11,0.5227139533644709,0.5434477614590918,0.36881065339526625,0.0021395030457655464,130,2
NONFIBROTIC ILD ADJUDICATED,4,1321510800,combined,outer_train_oof_predictions,5130,11,0.6167220160187536,0.6765437141487152,0.004162413905462725,0.002134276245237219,5130,6
NONFIBROTIC ILD ADJUDICATED,5,2010571492,zebra,outer_train_fixed_score,5130,11,0.7713864568719032,0.8237493118329219,0.414861305337311,0.0021225298481467986,5080,5
NONFIBROTIC ILD ADJUDICATED,5,2010571492,genomic,outer_train_oof_predictions,5130,11,0.6261876431831501,0.6810367792004831,0.014968956284337687,0.00213745101961678,5060,7
NONFIBROTIC ILD ADJUDICATED,5,2010571492,combined,outer_train_oof_predictions,5130,11,0.5382088120904296,0.5598128185547604,0.018601250361058568,0.002137327769242654,3551,3
NONFIBROTIC ILD ADJUDICATED,6,1191195299,zebra,outer_train_fixed_score,5130,11,0.8158908877799287,0.8529453550942123,0.4191872717591884,0.002107095429818181,5077,6
NONFIBROTIC ILD ADJUDICATED,6,1191195299,genomic,outer_train_oof_predictions,5130,11,0.544477792182422,0.6427214122076399,0.002729858218677982,0.0021301559274699397,5130,5
NONFIBROTIC ILD ADJUDICATED,6,1191195299,combined,outer_train_oof_predictions,5130,11,0.4861212239606457,0.6216146619545722,0.008034782079372178,0.002124895803081027,5128,4
NONFIBROTIC ILD ADJUDICATED,7,700435434,zebra,outer_train_fixed_score,5130,11,0.858219822763679,0.9062050471505443,0.4171592381227168,0.0020993506272318422,5079,4
NONFIBROTIC ILD ADJUDICATED,7,700435434,genomic,outer_train_oof_predictions,5130,11,0.5338933385426841,0.6392139800031966,0.03817038202965602,0.0020419953237442792,5129,3
NONFIBROTIC ILD ADJUDICATED,7,700435434,combined,outer_train_oof_predictions,5130,11,0.48542861709495816,0.5612779484629455,0.0023912330630688886,0.002139176851980731,5130,5
NONFIBROTIC ILD ADJUDICATED,8,584071660,zebra,outer_train_fixed_score,5130,11,0.8451934859436325,0.8829494396988049,0.4223499902623838,0.002102896299245093,5078,5
NONFIBROTIC ILD ADJUDICATED,8,584071660,genomic,outer_train_oof_predictions,5130,11,0.4372125237528636,0.5,0.18794232998499003,0.0021396517066979777,172,1
NONFIBROTIC ILD ADJUDICATED,8,584071660,combined,outer_train_oof_predictions,5130,11,0.6239144719316627,0.6700172263758902,0.00326177672639693,0.002137950453050286,5130,6
NONFIBROTIC ILD ADJUDICATED,9,834099608,zebra,outer_train_fixed_score,5130,11,0.8211564758741943,0.8642046564492354,0.42519199907726474,0.0021196873648807956,5071,6
NONFIBROTIC ILD ADJUDICATED,9,834099608,genomic,outer_train_oof_predictions,5130,11,0.5091726011827594,0.6097515494858725,0.0024081498055453553,0.0021387832374376676,5130,4
NONFIBROTIC ILD ADJUDICATED,9,834099608,combined,outer_train_oof_predictions,5130,11,0.5517945621481468,0.5588715835834415,0.00831168961540793,0.0021385972296060016,5116,2
