window_center_percentile,window_lower_percentile,window_upper_percentile,N,cases,controls,case_prevalence,MUC5B_carrier_N,MUC5B_carrier_prevalence,mean_ZeBRA,median_ZeBRA,sd_ZeBRA,unique_ZeBRA_values,LRT_Z_marginal,LRT_Z_marginal_p,LRT_G_marginal,LRT_G_marginal_p,LRT_Z_given_G,LRT_Z_given_G_p,LRT_G_given_Z,LRT_G_given_Z_p,G_minus_Z_partial_LRT,LRT_ZxG_interaction,LRT_ZxG_interaction_p,OR_Z_per_local_SD,OR_Z_ci_low,OR_Z_ci_high,OR_Z_p,OR_MUC5B_carrier,OR_MUC5B_ci_low,OR_MUC5B_ci_high,OR_MUC5B_p,OR_interaction,OR_interaction_p,AUC_Z,AUC_MUC5B,AUC_Z_plus_MUC5B,AUC_interaction,case_prevalence_MUC5B_carrier,case_prevalence_MUC5B_noncarrier,carrier_minus_noncarrier_case_prevalence,genomics_locally_stronger,both_weak
25.0,20.0,30.0,1276,8,1268,0.006269592476489028,259,0.2029780564263323,0.3430578629887861,0.34133307130490237,0.01831085003848336,1276,0.20225096355821393,0.6529100351663286,0.10443419056187508,0.7465719574966788,0.20153062662646448,0.6534881946549004,0.10371385363012564,0.7474175787484669,-0.09781677299633884,0.0073241831904340415,0.9317991515782601,0.8514378852705962,0.41993698275704017,1.7263220488810622,0.6556218212698118,1.3100575741485265,0.2628353586477252,6.5297563326865395,0.7417522790418931,0.9307392847920177,0.9319147691948657,0.4452878548895899,0.5236593059936909,0.545839905362776,0.5360804416403786,0.007722007722007722,0.0058997050147492625,0.0018223027072584597,False,True
35.0,30.0,40.0,1277,8,1269,0.006264682850430697,265,0.20751761942051683,0.4106892046634144,0.410604829198724,0.020731044715608382,1277,0.8597266400972785,0.35381520070166217,3.3769295583477685,0.0661151179155371,0.9291175518758905,0.33509233369364083,3.4463204701263805,0.06339274745681056,2.51720291825049,2.9140659328033394,0.08781024277707646,1.4137192058625025,0.692075712867063,2.8878372060549466,0.3421002912764094,3.92331229468762,0.9735275249427666,15.81093391535278,0.05457609289092952,0.26194701010097915,0.1121532991895404,0.5920015760441293,0.6471631205673759,0.7440898345153664,0.7502955082742317,0.01509433962264151,0.003952569169960474,0.011141770452681036,True,False
37.5,32.5,42.5,1277,8,1269,0.006264682850430697,259,0.2028191072826938,0.4291077079797467,0.42861107785271835,0.021576236814190533,1277,0.9912687617053138,0.31943247565184174,1.263629341556765,0.2609652221582962,0.9689687339932931,0.32493750837565294,1.2413293138447443,0.2652150163591015,0.27236057985145123,0.047686374833944,0.8271392005725301,1.4233810603243138,0.6982049944507769,2.9017461332880807,0.33132847032661905,2.3560417027418254,0.5589081761843138,9.93174324797862,0.24303331779539517,1.179786202624698,0.8277170783475191,0.6013593380614657,0.5866331757289203,0.639381402679275,0.6396769109535066,0.011583011583011582,0.004911591355599214,0.006671420227412368,True,False
40.0,35.0,45.0,1276,12,1264,0.009404388714733543,253,0.19827586206896552,0.44843190890744206,0.44733961164185215,0.022954429710890806,1276,0.45703894553508917,0.4990110870306248,5.498990116486681,0.019027459170778232,0.5325416097124958,0.46554026971749674,5.574492780664087,0.018223942818933313,5.041951170951592,2.4169334713870683,0.12002969023547067,1.2369662196613447,0.6975375160250091,2.1935528820050147,0.4668628135303754,4.164005601739449,1.3304622553619507,13.032269484864468,0.014267742702090103,2.543904817975038,0.13106366856395493,0.5510284810126582,0.6522943037974682,0.6422732067510548,0.6773470464135021,0.023715415019762844,0.005865102639296188,0.01785031238046666,True,False
42.5,37.5,47.5,1276,13,1263,0.01018808777429467,243,0.19043887147335423,0.46931112846597645,0.46808940455317494,0.02491981153744886,1276,0.0029770398519701757,0.9564872087634045,4.977970283854177,0.025672085639908613,0.01665380926368698,0.8973183711303302,4.991647053265893,0.025469954519741905,4.974993244002206,1.9699471480764998,0.16045347200974283,1.036726662934884,0.5997205938766467,1.7921715288989577,0.8972373963347668,3.720876213628224,1.2381357584129455,11.182069254579044,0.01926084503141497,2.2204152837135,0.16831428145567717,0.5047201412997138,0.6369450027407273,0.607893294354102,0.6890188196601499,0.024691358024691357,0.006776379477250726,0.017914978547440633,True,False
45.0,40.0,50.0,1277,11,1266,0.008613938919342208,237,0.1855912294440094,0.4919605072948797,0.49013849753709776,0.02734115227841399,1277,0.0012734802808296308,0.9715328490665905,7.18747753303154,0.007341411301288089,0.0007735489605664725,0.9778114983301545,7.186977601711277,0.007343457053732376,7.1862040527507105,0.11020265749833413,0.7399135310205365,1.0084106751518653,0.5589250267946433,1.819371187566917,0.97780750960189,5.379012997659088,1.6270016961111238,17.7834976436369,0.005819693241598646,1.2231459946381307,0.7403611239042128,0.5055292259083728,0.6814950452391211,0.6774378859686916,0.6941691799511704,0.02531645569620253,0.004807692307692308,0.020508763388510223,True,False
47.5,42.5,52.5,1277,13,1264,0.010180109631949883,252,0.19733750978856696,0.5168541272718955,0.515431562554351,0.030160271372018627,1277,0.03498531951706241,0.8516264247700991,7.511448917248799,0.0061308033860199935,0.15151005739863876,0.6970964501023897,7.627973655130376,0.005746983483573658,7.476463597731737,0.3930964313015579,0.5306762602154378,0.8968014674748027,0.5174760890533526,1.5541836407093195,0.6978400523038275,4.9395031584401945,1.6391928928300523,14.884576158768308,0.004538494475664138,0.7033720888219345,0.5307776530193236,0.48685491723466406,0.6723162122687438,0.6730160662122688,0.6874999999999999,0.027777777777777776,0.005853658536585366,0.021924119241192412,True,False
50.0,45.0,55.0,1277,13,1264,0.010180109631949883,251,0.19655442443226312,0.5439702554579994,0.5421931634455274,0.03265384807613498,1277,0.35654397014204164,0.5504319192792888,2.4764706975793445,0.11556130415060469,0.32535166399742366,0.5684091020208462,2.4452783914347265,0.11787897017986015,2.119926727437303,0.13085619276364469,0.7175459555549407,1.1745807936931514,0.6751131326387131,2.0435686616263,0.5690180059048606,2.5704643619625593,0.8334266030559191,7.927857128501418,0.1004066322818726,0.807389856982411,0.7177131496531268,0.5460077896786758,0.5949975657254138,0.6256085686465434,0.6256085686465434,0.0199203187250996,0.007797270955165692,0.01212304776993391,True,False
52.5,47.5,57.5,1277,13,1264,0.010180109631949883,252,0.19733750978856696,0.5726474892102258,0.5725753026132939,0.03429370667187651,1277,0.1074494877602774,0.7430667537236411,0.9015040810346022,0.3423787316753752,0.12871813786233588,0.7197648372265897,0.9227727311366607,0.3367479952835978,0.7940545932743248,2.0598932516136585,0.15122076372191862,1.1056869422303144,0.6384441184420355,1.9148795938506515,0.7199317669851336,1.8349965345681307,0.5600032052606543,6.012844659183291,0.3161187955169119,0.3913771838903426,0.17406073287049084,0.5281767283349562,0.5557448880233691,0.6046738072054527,0.6334591041869524,0.015873015873015872,0.00878048780487805,0.0070925280681378225,True,True
55.0,50.0,60.0,1277,15,1262,0.011746280344557557,253,0.1981205951448708,0.6027793155757235,0.6014869079983719,0.035311063335682305,1277,0.02315770258331895,0.8790476883752746,0.41639326068982996,0.5187422456570876,0.012067460086655046,0.9125267570765523,0.40530301819316605,0.5243631870985832,0.393235558106511,0.6394543251371942,0.4239084630172417,0.9718969902082931,0.584336626625164,1.6165061653440798,0.9125579532451898,1.4726757688775476,0.4636833377204157,4.677273785384042,0.5115075783798131,0.6239064161415405,0.43364092603170756,0.49101954569466455,0.5346804014791336,0.5220285261489699,0.5453777073428421,0.015810276679841896,0.0107421875,0.005068089179841896,True,True
57.5,52.5,62.5,1276,16,1260,0.012539184952978056,227,0.1778996865203762,0.6338186748653656,0.6325699703769949,0.036137400893542684,1276,0.2871633776591693,0.5920440651847791,0.5262189816268403,0.46820083025613457,0.2823279738645681,0.5951794241398666,0.5213835778322391,0.47025208311210576,0.239055603967671,0.4971751292436579,0.48074398255312867,1.1432125649811449,0.6972467332363632,1.8744225055949082,0.5957428128391835,1.5469188036924464,0.49425124964179146,4.841581659027803,0.45360761769160673,1.5224654846287087,0.487087712218252,0.5403769841269841,0.5365079365079365,0.55,0.5359126984126985,0.01762114537444934,0.011439466158245948,0.006181679216203393,True,True
60.0,55.0,65.0,1276,16,1260,0.012539184952978056,224,0.1755485893416928,0.6662585149420871,0.6654989220409684,0.038263780716429524,1276,0.041293631514633944,0.8389721904749815,0.5646727017474973,0.45238364284245713,0.045478307882262925,0.8311269502586823,0.5688573781151263,0.4507133214267849,0.5233790702328633,0.34085612981243685,0.5593354639664707,1.0551580565375975,0.6442935489246823,1.728029911419075,0.8310731612622165,1.5786092195676438,0.5043386558737614,4.941138338457497,0.43292398643006713,1.4115802586397395,0.5616147179259658,0.5154761904761905,0.5376984126984127,0.5358630952380953,0.5612103174603174,0.017857142857142856,0.011406844106463879,0.0064502987506789775,True,True
62.5,57.5,67.5,1277,15,1262,0.011746280344557557,230,0.18010963194988253,0.6995066940858982,0.6987384923117984,0.03920672661607809,1277,1.0580941400868653,0.3036502701946551,2.046583663391573,0.1525481645256977,1.0550297740211647,0.3043515219296345,2.0435192973258722,0.1528556477423145,0.9884895233047075,0.016729010084446827,0.8970880881066913,0.7637787323773365,0.4540221849224804,1.284866624153032,0.30989375203434866,2.30393865599491,0.7794100739258097,6.810449990530787,0.13122483105964164,1.0750288365397602,0.8969840381493537,0.42266244057052293,0.5775224511357633,0.6282620179609086,0.6277337559429477,0.021739130434782608,0.009551098376313277,0.012188032058469331,True,False
65.0,60.0,70.0,1277,20,1257,0.015661707126076743,236,0.18480814408770557,0.7319601431927983,0.7348880422641699,0.037635727328245015,1277,0.6706541051810291,0.4128236491420868,13.582056155888267,0.00022835796113807822,0.4531843469463013,0.5008266250466243,13.36458639765354,0.0002564204560980551,12.911402050707238,2.3829152131394835,0.12266844323382642,1.1661016710618914,0.7430113238249495,1.8301108794052476,0.5039836036951038,5.533300393112845,2.2639396449108955,13.523952950445288,0.00017543241106023804,2.0661859836877174,0.13016388455166714,0.5597852028639617,0.6855011933174223,0.6764518695306285,0.7236276849642005,0.046610169491525424,0.008645533141210375,0.03796463635031505,True,False
67.5,62.5,72.5,1277,22,1255,0.017227877838684416,250,0.19577133907595928,0.7632110812369334,0.7654412129550244,0.03427602728041981,1277,1.7489477522632626,0.18600906925627303,10.400767008262704,0.0012596298133697684,1.325588783043088,0.2495914965562116,9.97740803904253,0.0015847260673771755,8.651819255999442,0.0625387328616398,0.8025274514420584,1.2901560184091188,0.8301896497597566,2.0049666390311542,0.2573787029831479,4.130141371798287,1.7662576777665953,9.65774584635323,0.001065924073628038,0.8936922083913001,0.8024380848218673,0.5847156827236509,0.6547808764940238,0.6962332488228902,0.6962332488228902,0.044,0.010710808179162609,0.03328919182083739,True,False
