target_name,comparison,n_repeats,mean_delta_auc,median_delta_auc,q025,q975,fraction_gt_zero
FILD or FILA ADJUDICATED,combined - zebra,10,-0.015242848954249977,-0.010662417779493005,-0.039510809772170155,-0.004094536658610456,0.0
FILD or FILA ADJUDICATED,genomic - zebra,10,-0.2987818028069896,-0.3025657905938036,-0.3291836789709273,-0.24842294317998476,0.0
FILD or FILA ADJUDICATED,combined - genomic,10,0.28353895385273964,0.2867654272142277,0.23603297252114247,0.31195366383416534,1.0
NON FIBROTIC ILA ADJUDICATED,combined - zebra,10,-0.13588286218681395,-0.1339337245094268,-0.24704704722404544,-0.059995643120657235,0.0
NON FIBROTIC ILA ADJUDICATED,genomic - zebra,10,-0.379944067854152,-0.3697179910825431,-0.4740392585949348,-0.2887563514247561,0.0
NON FIBROTIC ILA ADJUDICATED,combined - genomic,10,0.24406120566733808,0.2270825317429781,0.1194223103342914,0.351177842722314,1.0
NONFIBROTIC ILD ADJUDICATED,combined - zebra,10,-0.3013222539188566,-0.24676190064545883,-0.5572853633586907,-0.13925538122406633,0.0
NONFIBROTIC ILD ADJUDICATED,genomic - zebra,10,-0.41267505186722,-0.40252024262332875,-0.49655704313623783,-0.3510381548236514,0.0
NONFIBROTIC ILD ADJUDICATED,combined - genomic,10,0.11135279794836332,0.11922797083909642,-0.15879599613877363,0.3299834853331028,0.8
