target_name,n_total,n_positive_total,n_validation,n_positive_validation,zebra_auc_exact_03_split
FILD or FILA ADJUDICATED,12882,271,7730,163,0.8353011664306024
NONFIBROTIC ILD ADJUDICATED,12882,30,7730,18,0.8715710004610419
NON FIBROTIC ILA ADJUDICATED,12882,77,7730,46,0.8408946880021727
